"","Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Generic Job Title","Professional/ Occupational Group","Payscale Minimum (£)","Payscale Maximum (£)","Number of Posts in FTE"
"1","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG30","AO","Information Technology.Admin Officer","Digital, Technology and Data","18514","24519",1
"2","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG30","AO","Operation Delivery.Admin Officer","Operational Delivery","18514","24519",1
"3","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG30","AO","Operation Delivery.Case Progression Officer","Operational Delivery","18514","24519",0.91892
"4","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG30","EO","Information Technology.Information Technology","Digital, Technology and Data","20755","32600",2
"5","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG30","HEO","Finance.Admin Officer","Finance","23647","41485",1
"6","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG30","HEO","Finance.Information Technology","Finance","23647","41485",1
"7","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG30","HEO","Information Technology.Information Technology","Digital, Technology and Data","23647","41485",1
"8","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG30","HEO","Operation Delivery.Team Manager","Operational Delivery","23647","41485",1.91892
"9","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG30","HEO","Other.Admin Officer","Operational Delivery","23647","41485",1
"10","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG30","SEO","HQMP6.C&C ICT Infrastructure and Sytems Manager","Operational Delivery","30531","53768",1
"11","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG30","SEO","Information Technology.Information Technology","Digital, Technology and Data","30531","53768",1.91892
"12","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG30","SEO","Information Technology.Senior Manager","Digital, Technology and Data","30531","53768",1
"13","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG30","SEO","Other.Business Manager","Operational Delivery","30531","53768",1
"14","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG38","G7","Finance.Director","Finance","43038","80756",1
"15","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG39","G7","Communications and Marketing.Head of Operations","Operational Delivery","43038","80756",1
"16","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG39","G7","Finance.Head of Section","Finance","43038","80756",1
"17","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG39","G7","Law.Lawyer","Legal","43038","80756",1
"18","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG39","G7","Operation Delivery.Business Manager","Operational Delivery","43038","80756",1
"19","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG39","G7","Operation Delivery.Finance & Performance","Operational Delivery","43038","80756",0.32432
"20","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG39","G7","Operational Support.","Operational Delivery","43038","80756",1.51351
"21","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG39","G7","Psychology.Team Manager","Operational Delivery","43038","80756",0.64865
"22","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG39","G7","RP.Registered Psychologist","Operational Delivery","43038","80756",0.21622
"23","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG6","AO","Operation Delivery.Admin Officer","Operational Delivery","18514","24519",1
"24","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG6","AO","Operation Delivery.Customer Service","Operational Delivery","18514","24519",1
"25","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG6","EO","Finance.Finance","Finance","20755","32600",1.81081
"26","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG6","SEO","Finance.Finance","Finance","30531","53768",1
"27","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG6","SEO","Finance.Team Manager","Finance","30531","53768",1
"28","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG8","G7","Finance.Information Technology","Finance","43038","80756",1
"29","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","AA","Operation Delivery.Admin Assistant","Operational Delivery","15511","20195",11.05946
"30","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","AO","Administration - General.","Operational Delivery","18514","24519",9
"31","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","AO","F.GENERICPolicy Support","Policy","18514","24519",0.40541
"32","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","AO","Operation Delivery.Admin Assistant","Operational Delivery","18514","24519",0.6
"33","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","AO","Operation Delivery.Admin Officer","Operational Delivery","18514","24519",69.59462
"34","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","AO","Operation Delivery.Business Support","Operational Delivery","18514","24519",1
"35","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","AO","Operation Delivery.Case Progression Officer","Operational Delivery","18514","24519",1.92217
"36","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","AO","Operation Delivery.Customer Service","Operational Delivery","18514","24519",6.0146
"37","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","AO","Operation Delivery.Team Leader/Supervisor","Operational Delivery","18514","24519",0.95946
"38","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","AO","Operational Research.Admin Officer","Operational Research","18514","24519",1
"39","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","AO","Other.Admin Assistant","Operational Delivery","18514","24519",1
"40","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","AO","Other.Admin Officer","Operational Delivery","18514","24519",2.81081
"41","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","AO","Other.Customer Service","Operational Delivery","18514","24519",0.81081
"42","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","EO","Administration - General.","Operational Delivery","20755","32600",3
"43","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","EO","Finance.Executive Assistant","Finance","20755","32600",1
"44","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","EO","Operation Delivery.Admin Officer","Operational Delivery","20755","32600",9.32432
"45","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","EO","Operation Delivery.Business Manager","Operational Delivery","20755","32600",2
"46","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","EO","Operation Delivery.Business Support","Operational Delivery","20755","32600",2
"47","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","EO","Operation Delivery.Case Progression Manager","Operational Delivery","20755","32600",1
"48","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","EO","Operation Delivery.Case Progression Officer","Operational Delivery","20755","32600",4.89189
"49","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","EO","Operation Delivery.Customer Service","Operational Delivery","20755","32600",1
"50","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","EO","Operation Delivery.Executive Assistant","Operational Delivery","20755","32600",14.40838
"51","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","EO","Operation Delivery.Personal Assistant","Operational Delivery","20755","32600",1
"52","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","EO","Operation Delivery.Team Leader/Supervisor","Operational Delivery","20755","32600",28.4046
"53","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","EO","Other.Executive Assistant","Operational Delivery","20755","32600",1
"54","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","EO","Other.Personal Assistant","Operational Delivery","20755","32600",1
"55","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","G7","Law.Senior Manager","Operational Delivery","43038","80756",2
"56","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","HEO","Administration - General.","Operational Delivery","23647","41485",0.7027
"57","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","HEO","Communications and Marketing.Executive Assistant","Communications","23647","41485",0.89189
"58","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","HEO","HoFS.Casework YP","Operational Delivery","23647","41485",1
"59","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","HEO","Operation Delivery.Admin Officer","Operational Delivery","23647","41485",5
"60","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","HEO","Operation Delivery.Business Manager","Operational Delivery","23647","41485",2
"61","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","HEO","Operation Delivery.Case Progression Manager","Operational Delivery","23647","41485",2
"62","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","HEO","Operation Delivery.Case Progression Officer","Operational Delivery","23647","41485",2
"63","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","HEO","Operation Delivery.Customer Service","Operational Delivery","23647","41485",3
"64","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","HEO","Operation Delivery.Executive Assistant","Operational Delivery","23647","41485",3.71892
"65","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","HEO","Operation Delivery.Finance","Operational Delivery","23647","41485",1
"66","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","HEO","Operation Delivery.Finance & Performance","Operational Delivery","23647","41485",1
"67","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","HEO","Operation Delivery.Project","Project Delivery","23647","41485",1
"68","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","HEO","Operation Delivery.Team Leader/Supervisor","Operational Delivery","23647","41485",4
"69","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","HEO","Operation Delivery.Team Manager","Operational Delivery","23647","41485",18.89729
"70","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","HEO","Operational Support.","Operational Delivery","23647","41485",1
"71","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","HEO","Other.Executive Assistant","Operational Delivery","23647","41485",1
"72","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","SEO","Law.Legal Adviser","Legal","30531","53768",1
"73","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","SEO","Operation Delivery.Business Manager","Operational Delivery","30531","53768",1
"74","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","SEO","Operation Delivery.Case Progression Manager","Operational Delivery","30531","53768",1
"75","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","SEO","Operation Delivery.Senior Manager","Operational Delivery","30531","53768",3
"76","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","SEO","Operation Delivery.Team Manager","Operational Delivery","30531","53768",2
"77","Ministry of Justice","AGY - CICA","DIR - CICA","CICA1","SEO","Other.Governance","Operational Delivery","30531","53768",1
"78","Ministry of Justice","AGY - CICA","DIR - CICA","JPSCG29","AO","Finance.Admin Officer","Finance","18514","24519",1
"79","Ministry of Justice","AGY - CICA","DIR - CICA","JPSCG29","AO","Operation Delivery.Admin Officer","Operational Delivery","18514","24519",8.86486
"80","Ministry of Justice","AGY - CICA","DIR - CICA","JPSCG29","AO","Operation Delivery.Case Progression Officer","Operational Delivery","18514","24519",0.54054
"81","Ministry of Justice","AGY - CICA","DIR - CICA","JPSCG29","EO","Economics.Customer Service","Operational Delivery","20755","32600",1
"82","Ministry of Justice","AGY - HMCTS","BAU Funded Change","HMCTS13","G7","AUM.Commissioning Commercial Contract","Operational Delivery","43038","80756",1
"83","Ministry of Justice","AGY - HMCTS","BAU Funded Change","HMCTS13","G7","Operation Delivery.Governance","Operational Delivery","43038","80756",1
"84","Ministry of Justice","AGY - HMCTS","BAU Funded Change","HMCTS13","G7","Operation Delivery.Team Manager","Operational Delivery","43038","80756",1
"85","Ministry of Justice","AGY - HMCTS","BAU Funded Change","HMCTS13","G7","Planning.Business Manager","Operational Delivery","43038","80756",1
"86","Ministry of Justice","AGY - HMCTS","BAU Funded Change","HMCTS13","SEO","Operational Manager.","Operational Delivery","30531","53768",1
"87","Ministry of Justice","AGY - HMCTS","BAU Funded Change","HMCTS23","SEO","Operation Delivery.Admin Officer","Operational Delivery","30531","53768",1
"88","Ministry of Justice","AGY - HMCTS","BAU Funded Change","HMCTS65","AO","Operation Delivery.Admin Officer","Operational Delivery","18514","24519",1
"89","Ministry of Justice","AGY - HMCTS","BAU Funded Change","HMCTS65","EO","Operation Delivery.Business Support","Operational Delivery","20755","32600",1
"90","Ministry of Justice","AGY - HMCTS","BAU Funded Change","HMCTS65","HEO","Operation Delivery.Business Manager","Operational Delivery","23647","41485",1
"91","Ministry of Justice","AGY - HMCTS","BAU Funded Change","HMCTS65","SEO","Operation Delivery.Team Manager","Operational Delivery","30531","53768",1
"92","Ministry of Justice","AGY - HMCTS","BAU Funded Change","HMCTS65","SEO","Programme and Project Management.Project","Operational Delivery","30531","53768",1
"93","Ministry of Justice","AGY - HMCTS","Central County Court","HMCTS40","AA","Administration - General.","Operational Delivery","15511","20195",1
"94","Ministry of Justice","AGY - HMCTS","Central County Court","HMCTS40","AA","Operation Delivery.Admin Assistant","Operational Delivery","15511","20195",6.04416
"95","Ministry of Justice","AGY - HMCTS","Central County Court","HMCTS40","AA","Operation Delivery.Admin Officer","Operational Delivery","15511","20195",0.8
"96","Ministry of Justice","AGY - HMCTS","Central County Court","HMCTS40","AA","Operation Delivery.Court Usher","Operational Delivery","15511","20195",0.58333
"97","Ministry of Justice","AGY - HMCTS","Central County Court","HMCTS40","AA","Operation Delivery.Usher","Operational Delivery","15511","20195",1
"98","Ministry of Justice","AGY - HMCTS","Central County Court","HMCTS40","AO","Administration - General.","Operational Delivery","18514","24519",2
"99","Ministry of Justice","AGY - HMCTS","Central County Court","HMCTS40","AO","Information Technology.Bailiff Manager","Operational Delivery","18514","24519",1
"100","Ministry of Justice","AGY - HMCTS","Central County Court","HMCTS40","AO","Operation Delivery.Admin Officer","Operational Delivery","18514","24519",25.93777
"101","Ministry of Justice","AGY - HMCTS","Central County Court","HMCTS40","AO","Operation Delivery.Court Admin","Operational Delivery","18514","24519",2.72222
"102","Ministry of Justice","AGY - HMCTS","Central County Court","HMCTS40","AO","Operation Delivery.Court Officer","Operational Delivery","18514","24519",2
"103","Ministry of Justice","AGY - HMCTS","Central County Court","HMCTS40","AO","Other.Admin Officer","Operational Delivery","18514","24519",2
"104","Ministry of Justice","AGY - HMCTS","Central County Court","HMCTS40","EO","Operation Delivery.Court Admin","Operational Delivery","20755","32600",0.6
"105","Ministry of Justice","AGY - HMCTS","Central County Court","HMCTS40","EO","Operation Delivery.Court Officer","Operational Delivery","20755","32600",1
"106","Ministry of Justice","AGY - HMCTS","Central County Court","HMCTS40","EO","Operation Delivery.Team Leader/Supervisor","Operational Delivery","20755","32600",5.09083
"107","Ministry of Justice","AGY - HMCTS","Central County Court","HMCTS40","EO","Operation Delivery.Team Manager","Operational Delivery","20755","32600",1
"108","Ministry of Justice","AGY - HMCTS","Central County Court","HMCTS40","HEO","Operation Delivery.Team Manager","Operational Delivery","23647","41485",1
"109","Ministry of Justice","AGY - HMCTS","Central County Court","HMCTS40","SEO","Operation Delivery.Court Manager","Operational Delivery","30531","53768",1
"110","Ministry of Justice","AGY - HMCTS","Centrally Managed Budgets","HMCTS31","AO","Operation Delivery.Admin Officer","Finance","18514","24519",0.6
"111","Ministry of Justice","AGY - HMCTS","Centrally Managed Budgets","HMCTS31","G7","Law.Team Manager","Finance","43038","80756",1
"112","Ministry of Justice","AGY - HMCTS","Change Portfolio","HMCTS34","EO","Finance.Admin Assistant","Operational Delivery","20755","32600",0.63429
"113","Ministry of Justice","AGY - HMCTS","Change Portfolio","HMCTS63","SEO","Programme and Project Management.Project","Project Delivery","30531","53768",1
"114","Ministry of Justice","AGY - HMCTS","Closed","HMCTS31","AO","Operation Delivery.Admin Officer","Operational Delivery","18514","24519",1
"115","Ministry of Justice","AGY - HMCTS","Closed","HMCTS36","AO","Operation Delivery.Admin Officer","Operational Delivery","18514","24519",1.89189
"116","Ministry of Justice","AGY - HMCTS","Closed","HMCTS40","AO","Administration - General.",NA,"18514","24519",1
"117","Ministry of Justice","AGY - HMCTS","Closed","HMCTS40","EO","Other.Case Progression Manager",NA,"20755","32600",1
"118","Ministry of Justice","AGY - HMCTS","Closed","HMCTS40","G7","Law.Lawyer","Legal","43038","80756",1
"119","Ministry of Justice","AGY - HMCTS","Closed","HMCTS40","HEO","Law.Lawyer","Legal","23647","41485",19
"120","Ministry of Justice","AGY - HMCTS","Closed","HMCTS40","HEO","Operation Delivery.Admin Officer","Operational Delivery","23647","41485",4
"121","Ministry of Justice","AGY - HMCTS","Closed","HMCTS40","HEO","Operation Delivery.Lawyer","Legal","23647","41485",1
"122","Ministry of Justice","AGY - HMCTS","Closed","HMCTS40","HEO","Operational Support.","Operational Delivery","23647","41485",1
"123","Ministry of Justice","AGY - HMCTS","Closed","HMCTS67","HEO","Other.Business Support","Planning","23647","41485",1
"124","Ministry of Justice","AGY - HMCTS","Closed","HMCTS74","G7","Law.Legal Adviser","Legal","43038","80756",1
"125","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS54","AO","Operation Delivery.Admin Officer","Operational Delivery","18514","24519",0.59459
"126","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS58","AO","Administration - General.",NA,"18514","24519",5.81081
"127","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS58","AO","HQAS2.NOS APVU Contact Centre Agent 1",NA,"18514","24519",1
"128","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS58","AO","HQAS2.NOS Casework Admin Support",NA,"18514","24519",0.81081
"129","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS58","AO","Operation Delivery.Admin Officer","Operational Delivery","18514","24519",7.60811
"130","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS58","AO","Operation Delivery.Business Support","Operational Delivery","18514","24519",1
"131","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS58","AO","Operation Delivery.Case Progression Manager","Operational Delivery","18514","24519",1
"132","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS58","AO","Operation Delivery.Case Progression Officer","Operational Delivery","18514","24519",31.20271
"133","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS58","AO","Operation Delivery.Court Admin","Operational Delivery","18514","24519",1
"134","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS58","AO","Operational Support.","Operational Delivery","18514","24519",6.43243
"135","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS58","EO","Knowledge and Information Management.Admin Assistant","Knowledge and Information Management","20755","32600",1
"136","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS58","EO","Knowledge and Information Management.Business Support","Knowledge and Information Management","20755","32600",1.74324
"137","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS58","EO","Operation Delivery.Admin Officer","Operational Delivery","20755","32600",2
"138","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS58","EO","Operation Delivery.Business Manager","Operational Delivery","20755","32600",1
"139","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS58","EO","Operation Delivery.Business Support","Operational Delivery","20755","32600",2
"140","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS58","EO","Operation Delivery.Case Progression Manager","Operational Delivery","20755","32600",4
"141","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS58","EO","Operation Delivery.Learning & Development","Operational Delivery","20755","32600",3
"142","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS58","EO","Operation Delivery.Strategic & Planning","Operational Delivery","20755","32600",2
"143","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS58","EO","Operation Delivery.Team Leader/Supervisor","Operational Delivery","20755","32600",1
"144","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS58","EO","Operational Support.","Operational Delivery","20755","32600",3
"145","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS58","EO","Other.Admin Officer",NA,"20755","32600",1
"146","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS58","SEO","Operation Delivery.Strategic & Planning","Operational Delivery","30531","53768",2
"147","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS74","AO","Administration - General.",NA,"18514","24519",3
"148","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS74","AO","Operation Delivery.Admin Officer","Operational Delivery","18514","24519",2.51351
"149","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS74","AO","Operation Delivery.Case Progression Officer","Operational Delivery","18514","24519",7.60811
"150","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS74","AO","Operational Support.","Operational Delivery","18514","24519",10.62162
"151","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS74","AO","Other.Admin Officer",NA,"18514","24519",1
"152","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS74","EO","Operation Delivery.Admin Officer","Operational Delivery","20755","32600",1.86486
"153","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS74","EO","Operation Delivery.Customer Service","Operational Delivery","20755","32600",1
"154","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS74","EO","Operation Delivery.Learning & Development","Operational Delivery","20755","32600",2
"155","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS74","EO","Operation Delivery.Team Leader/Supervisor","Operational Delivery","20755","32600",1
"156","Ministry of Justice","AGY - HMCTS","Courts & Tribunals Service Centres","HMCTS9","G7","Operation Delivery.Head of Operations","Operational Delivery","43038","80756",2
"157","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS13","EO","Operation Delivery.Admin Officer","Project Delivery","20755","32600",0.91892
"158","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS13","G7","Programme and Project Management.Business Manager","Project Delivery","43038","80756",1
"159","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS14","EO","Operational Support.","Project Delivery","20755","32600",1
"160","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS14","G7","Human Resources.Business Manager","Project Delivery","43038","80756",1
"161","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS14","G7","Programme and Project Management.Business Manager","Project Delivery","43038","80756",2
"162","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS14","G7","Programme and Project Management.Project","Project Delivery","43038","80756",1
"163","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS14","G7","Programme and Project Management.Senior Manager","Project Delivery","43038","80756",1
"164","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS14","SEO","Human Resources.Human Resources","Project Delivery","30531","53768",1
"165","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS14","SEO","Information Technology.Information Technology","Project Delivery","30531","53768",1
"166","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS14","SEO","Programme and Project Management.Project","Project Delivery","30531","53768",2
"167","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS19","G7","Law.Legal Adviser","Legal","43038","80756",1
"168","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS19","G7","Operation Delivery.Head of Section","Project Delivery","43038","80756",1
"169","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS19","G7","Programme and Project Management.Business Manager","Project Delivery","43038","80756",1
"170","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS19","SEO","Programme and Project Management.Change Management","Project Delivery","30531","53768",1
"171","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS24","SEO","Programme and Project Management.Team Leader/Supervisor","Project Delivery","30531","53768",1
"172","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS29","HEO","Human Resources.Learning & Development","Project Delivery","23647","41485",0.81081
"173","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS34","HEO","Finance.Business Support","Project Delivery","23647","41485",1
"174","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS34","HEO","Operation Delivery.Business Support","Project Delivery","23647","41485",1
"175","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS34","SEO","Other.Business Support","Project Delivery","30531","53768",1
"176","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS47","G7","Operation Delivery.Admin Officer","Project Delivery","43038","80756",1
"177","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS47","G7","Operational Manager.","Project Delivery","43038","80756",1
"178","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS47","HEO","Operation Delivery.Performance","Project Delivery","23647","41485",1
"179","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS56","AO","Operation Delivery.Court Admin","Project Delivery","18514","24519",1
"180","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS56","AO","Procurement and Contract Management.Project","Project Delivery","18514","24519",1
"181","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS56","AO","Programme and Project Management.Project","Project Delivery","18514","24519",1
"182","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS56","EO","Operation Delivery.Business Support","Project Delivery","20755","32600",1
"183","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS56","HEO","Operational Support.","Project Delivery","23647","41485",2
"184","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS56","HEO","Programme and Project Management.Business Support","Project Delivery","23647","41485",2
"185","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS56","SEO","HQAS5.PSP Programme Office Support Manager","Project Delivery","30531","53768",1
"186","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS56","SEO","Human Resources.Business Manager","Project Delivery","30531","53768",1
"187","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS56","SEO","Operational Manager.","Project Delivery","30531","53768",1
"188","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS56","SEO","Other.Business Support","Project Delivery","30531","53768",0.7027
"189","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS56","SEO","Programme and Project Management.Business Manager","Project Delivery","30531","53768",2
"190","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS56","SEO","Programme and Project Management.Business Support","Project Delivery","30531","53768",2
"191","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS56","SEO","Programme and Project Management.Change Management","Project Delivery","30531","53768",2
"192","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS56","SEO","Programme and Project Management.Project","Project Delivery","30531","53768",1
"193","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS59","G7","Operation Delivery.Finance & Performance","Project Delivery","43038","80756",1
"194","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS70","G7","Law.Deputy Justices' Clerk","Project Delivery","43038","80756",1
"195","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS70","G7","Operation Delivery.Head of Section","Project Delivery","43038","80756",1
"196","Ministry of Justice","AGY - HMCTS","Criminal Justice","HMCTS70","SEO","Operation Delivery.Court Manager","Project Delivery","30531","53768",1
"197","Ministry of Justice","AGY - HMCTS","CT Avon, Gloucester,Somerset Cluster","HMCTS36","AA","General.","Operational Delivery","15511","20195",1
"198","Ministry of Justice","AGY - HMCTS","CT Avon, Gloucester,Somerset Cluster","HMCTS36","AA","Human Resources.Court Usher","Operational Delivery","15511","20195",1
"199","Ministry of Justice","AGY - HMCTS","CT Avon, Gloucester,Somerset Cluster","HMCTS36","AA","Law.Court Usher","Operational Delivery","15511","20195",1
"200","Ministry of Justice","AGY - HMCTS","CT Avon, Gloucester,Somerset Cluster","HMCTS36","AA","Operation Delivery.Admin Assistant","Operational Delivery","15511","20195",5.10811
"201","Ministry of Justice","AGY - HMCTS","CT Avon, Gloucester,Somerset Cluster","HMCTS36","AA","Operation Delivery.Admin Officer","Operational Delivery","15511","20195",3
